session_id,station_id,session_date,energy_consumed_kwh,duration_min,cost
1,1,2025-07-31 03:58:42,54.49,56.8,14.62
2,1,2025-10-16 13:56:27,35.0,29.97,9.75
3,1,2025-06-22 01:32:48,50.2,56.99,13.55
4,1,2025-06-02 03:40:29,50.29,36.95,13.57
5,1,2025-11-14 13:47:22,70.95,24.96,18.74
6,1,2025-11-09 21:25:20,30.14,59.09,8.54
7,1,2025-09-11 11:33:34,34.16,47.85,9.54
8,1,2025-08-23 12:12:37,46.15,41.39,12.54
9,1,2025-10-02 03:55:32,61.55,35.11,16.39
10,1,2025-11-09 03:24:06,46.48,47.16,12.62
11,1,2025-11-13 03:22:49,27.47,41.29,7.87
12,1,2025-06-13 02:03:00,65.66,47.0,17.41
13,1,2025-06-01 15:59:11,63.85,23.42,16.96
14,1,2025-10-19 20:44:09,52.55,57.77,14.14
15,1,2025-06-14 03:59:30,59.73,41.11,15.93
16,1,2025-10-03 09:22:39,38.26,32.42,10.57
17,1,2025-07-01 18:20:10,67.16,59.59,17.79
18,1,2025-11-09 15:14:56,54.59,47.41,14.65
19,1,2025-07-20 23:22:09,69.13,59.58,18.28
20,1,2025-06-28 20:39:15,25.68,48.16,7.42
21,1,2025-06-02 10:04:51,55.42,56.01,14.85
22,1,2025-09-14 14:59:11,32.45,28.37,9.11
23,1,2025-10-17 12:11:42,59.61,18.91,15.9
24,1,2025-08-29 16:45:42,72.29,43.44,19.07
25,1,2025-06-08 19:57:37,25.83,38.43,7.46
26,1,2025-06-01 11:12:21,62.88,32.73,16.72
27,1,2025-09-17 05:39:47,65.05,52.99,17.26
28,1,2025-10-18 16:38:01,44.26,52.7,12.06
29,1,2025-11-11 15:05:14,57.77,23.76,15.44
30,1,2025-07-02 07:15:04,48.4,37.41,13.1
31,1,2025-09-27 16:16:42,57.15,23.56,15.29
32,1,2025-07-05 19:37:05,27.05,28.21,7.76
33,1,2025-08-03 18:38:01,71.7,39.05,18.92
34,1,2025-06-29 02:07:36,35.67,26.64,9.92
35,1,2025-06-29 16:19:51,60.65,43.05,16.16
36,1,2025-09-09 03:45:56,42.24,24.71,11.56
37,1,2025-07-31 09:36:56,23.08,44.57,6.77
38,1,2025-05-28 10:47:34,74.58,51.31,19.65
39,1,2025-06-14 11:22:05,71.65,15.17,18.91
40,1,2025-05-23 01:47:27,36.86,22.15,10.21
41,1,2025-06-16 07:46:39,20.55,41.13,6.14
42,1,2025-08-13 20:34:32,34.97,37.14,9.74
43,1,2025-05-27 08:18:29,58.58,43.12,15.64
44,1,2025-07-02 01:05:44,29.25,47.93,8.31
45,1,2025-08-20 09:13:05,49.51,24.73,13.38
46,1,2025-11-13 23:40:36,45.56,34.5,12.39
47,1,2025-11-04 01:11:23,20.95,15.85,6.24
48,1,2025-07-01 14:42:37,37.68,26.19,10.42
49,1,2025-05-30 02:40:16,35.11,40.55,9.78
50,1,2025-07-10 14:59:57,60.62,16.87,16.16
51,1,2025-06-06 04:43:04,32.07,40.69,9.02
52,1,2025-09-18 03:48:44,43.67,42.96,11.92
53,1,2025-05-27 07:55:10,68.1,26.54,18.03
54,1,2025-10-20 03:04:06,58.56,41.86,15.64
55,1,2025-08-09 03:56:24,53.73,50.51,14.43
56,1,2025-07-28 17:48:36,72.73,43.95,19.18
57,1,2025-07-09 08:35:28,45.92,54.12,12.48
58,1,2025-08-26 01:54:07,56.84,24.62,15.21
59,1,2025-06-06 07:11:18,31.65,40.66,8.91
60,1,2025-10-10 11:08:21,69.54,52.44,18.38
61,1,2025-06-24 02:25:36,21.91,15.07,6.48
62,1,2025-07-28 17:44:35,59.42,30.52,15.86
63,1,2025-09-06 20:14:27,29.01,41.98,8.25
64,1,2025-09-21 09:49:08,57.57,55.95,15.39
65,1,2025-09-25 15:48:17,27.91,44.15,7.98
